id,name,edible_conversion_factor,energy_kj,energy_kcal,water_g,protein_g,fat_g,carbs_available_g,fiber_g,ash_g,calcium_mg,iron_mg,magnesium_mg,potassium_mg,sodium_mg,zinc_mg,selenium_mcg,retinol_mcg,beta_carotene_eq_mcg,thiamin_mg,riboflavin_mg,niacin_mg,food_folate_mcg,vit_b12_mcg,vit_c_mg,cholesterol_mg,food_group
1,CEREALS AND CEREAL PRODUCTS,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,UNKNOWN
1001,"Amaranth, whole grain, dry, raw",1,1520.0,360.0,10,14.7,5.6,59.2,7.5,3.1,162,9.5,270,413,3,2.5,21,0,0,0.07,0.21,0.5,82,0,1,0.0,CEREALS AND CEREAL PRODUCTS
1046,"Amaranth, whole grain, dry, stewed (without salt)",1,510.0,121.0,69.8,4.9,1.9,19.9,2.5,1.1,56,3.2,91,139,3,0.85,7,0,0,0.02,0.07,0.2,22,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1002,"Amaranth, whole grain, flour",1,1540.0,365.0,10.2,13.8,6.3,59.6,7.1,3,161,8.9,259,461,3,2.7,20,0,1,0.08,0.15,0.7,0,0,1,0.0,CEREALS AND CEREAL PRODUCTS
1003,"Biscuit, Savoury",1,2060.0,492.0,4.5,6.6,24.9,58.9,3.3,1.9,38,1.4,27,161,637,0.83,15,7,15,0.16,0.06,1.3,21,0,3,0.0,CEREALS AND CEREAL PRODUCTS
1004,"Biscuit, Sweet",1,1930.0,460.0,4.3,6.1,17.2,69.3,2.1,1.1,45,1.4,19,158,298,0.6,10,38.5,20,0.09,0.03,0.7,23,0.1,7,12.0,CEREALS AND CEREAL PRODUCTS
1005,"Bread, Brown",1,1040.0,245.0,36,8,[1.5],46.9,5.9,1.7,56,2.6,58,191,446,1.3,13,0,0,0.22,0.01,3.4,37,0.05,0,0.0,CEREALS AND CEREAL PRODUCTS
1006,"Bread, Sweet",1,1540.0,368.0,23.5,8.3,14.4,50.6,1.5,1.8,80,1.9,18,227,369,0.8,20,70,43,0.2,0.16,2.3,33,0.23,0.6,0.0,CEREALS AND CEREAL PRODUCTS
1007,"Bread, White",1,1050.0,249.0,36.9,7.7,1.9,48.8,3.1,1.7,37,1.7,27,120,466,0.8,10,0,0,0.16,0.06,3.8,28,0.07,0,0.0,CEREALS AND CEREAL PRODUCTS
1008,"Breakfast cereal, flakes of corn, fortified (iron, thiamine, riboflavin, niacin and folate)",1,1580.0,372.0,3.5,7.5,0.7,82.6,2.95,2.8,3.2,10.2,13,110,1090,0.2,5.5,0,128,1,1.5,17.7,4,0,[0],0.0,CEREALS AND CEREAL PRODUCTS
1009,"Breakfast cereal, flakes of corn",1,1580.0,373.0,3.5,7.5,0.7,83,2.6,2.8,3,0.4,13,110,1090,0.2,9,0,125,tr,0.08,0.8,4,0,[0],0.0,CEREALS AND CEREAL PRODUCTS
1010,"Breakfast cereal, wheat biscuits, Weetabix type",1,1550.0,366.0,3.8,11.5,1.9,70.7,9.9,2.1,30,7.6,125,392,360,2,5.1,0,0,1,1.24,11,53,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1011,"Buns, Currant",1,1290.0,306.0,29,7,6.8,52.8,2.9,1.5,90,2.5,27,210,100,0.6,9,0,1,0.2,0.03,2.1,12,0,[0],1.5,CEREALS AND CEREAL PRODUCTS
1012,"Cake or cupcake, plain butter cake, commercial",1,1530.0,363.0,25.9,7.1,15.3,48.8,1.1,1.9,63,1,14,110,480,0.5,7,46,42.5,0.06,0.14,0.7,8.5,0.15,0,82.5,CEREALS AND CEREAL PRODUCTS
1013,"Cake, Fruit",1,1550.0,368.0,20,4,12.3,58.8,3.1,1.8,75,2,23,347,170,0.5,4,5,41,0.1,0.1,0.2,0,0.2,0,38.0,CEREALS AND CEREAL PRODUCTS
1014,"Cake, Sponge, homemade",1,1940.0,465.0,15,6.5,26.7,49.1,1.1,1.6,140,1.4,12,105,350,0.6,7,309,173,0.04,0.13,0.5,9,0.9,0,161.0,CEREALS AND CEREAL PRODUCTS
1015,"Cake, Sponge, without fat",1,1280.0,304.0,30,10,6.3,51.2,1.2,1.3,70,2,15,136,80,0.9,14,73,tr,0.1,0.25,0.5,16,1.6,0,203.0,CEREALS AND CEREAL PRODUCTS
1016,Cakes (Various Fancy Iced),1,1730.0,412.0,15.7,13,16.8,51.5,1.1,1.9,45,1.5,10,147,250,0.3,3,tr,tr,0.03,0.5,0.5,7,0.2,0,31.1,CEREALS AND CEREAL PRODUCTS
1017,"Cornflour, from maize starch",1,1510.0,355.0,10.6,0.5,0.4,87.1,0.6,0.8,12,0.7,3,7,10,0.2,2,0,0,0.02,0,0.2,1,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1018,"Maize, grain, white variety, whole, dry, raw",1,1450.0,345.0,13.6,7.94,4.5,63.4,9.4,1.2,24,2.6,75,226,12,1.88,8,0,0,0.25,0.1,2,71,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1047,"Maize, grain, white variety, whole, dry, boiled, drained (without salt)",1,469.0,111.0,72.1,2.6,1.5,20.5,3,0.4,9,0.8,25,59,5,0.58,3,0,0,0.04,0.02,0.5,16,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1048,"Maize, grain, white variety, whole, dry, stewed (without salt)",1,469.0,111.0,72.1,2.6,1.5,20.5,3,0.4,9,0.8,25,73,6,0.61,3,0,0,0.06,0.03,0.6,18,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1019,"Maize, grain, yellow variety, whole, dry, raw",1,1430.0,340.0,12.7,8.3,3.7,62.5,11.9,1,7,3.9,104,346,7,2.3,8.5,0,241,0.5,0.12,2.2,33,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1049,"Maize, grain, yellow variety, whole, dry, boiled, drained (without salt)",1,463.0,110.0,71.8,2.7,1.2,20.2,3.8,0.4,4,1.3,34,90,4,0.7,3,0,70,0.08,0.03,0.5,7,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1050,"Maize, grain, yellow variety, whole, dry, stewed, drained (without salt)",0,334.0,79.0,79.6,1.9,0.9,14.5,2.8,0.3,3,0.9,25,81,4,0.53,2,0,53,0.09,0.03,0.5,6,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1020,"Maize meal, sifted, fortified, packaged, raw",1,1490.0,352.0,12.7,6.8,3,72.3,4.5,0.7,20,3.6,50,150,12,4.36,0,71.4,0,0.5,0.31,3.69,18,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1021,"Maize, White, Degermed (Muthokoi)",1,1430.0,338.0,13.5,7.3,1.7,71.4,3.9,2.2,3,0.5,19,90,7,0.5,0,0,1.5,0.12,0.01,0.5,10,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1022,"Maize, whole, flour, raw",1,1450.0,345.0,13.6,7.9,4.5,63.4,9.4,1.2,9,2.6,110,258,12,1.88,9,0,0,0.25,0.1,2,71,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1023,"Green Maize, white, whole, grain, fresh, raw",0.68,655.0,157.0,55.1,4.1,2.5,21.4,16.1,0.8,18,1.2,39,188,8,1.95,5,0,98,0.18,0.1,1.55,78,0,0.9,0.0,CEREALS AND CEREAL PRODUCTS
1051,"Green maize, white, whole, grain, fresh, boiled, drained (without salt)",0.69,612.0,146.0,58,3.8,2.3,20,15,0.8,17,1.1,36,141,6,1.73,5,0,82,0.08,0.07,1.1,51,0,1,0.0,CEREALS AND CEREAL PRODUCTS
1052,"Green Maize, white, whole, grain, fresh, stewed (without salt)",0.62,850.0,203.0,41.7,5.3,3.2,27.8,20.9,1.1,23,1.6,50,244,10,2.53,7,0,121,0.17,0.13,1.9,81,0,1,0.0,CEREALS AND CEREAL PRODUCTS
1024,"Millet, bulrush, flour",1,1490.0,354.0,11,10.5,5.3,61.8,8.8,2.7,32,32.4,84,291,4,4.14,34,0,0,0.27,0.17,1.5,162,0,3,0.0,CEREALS AND CEREAL PRODUCTS
1025,"Millet, bulrush, grain, dry, raw",1,1490.0,354.0,11,9.8,5.3,62.5,8.8,2.7,32,6.3,84,291,4,4.14,25,0,28,0.27,0.17,1.5,162,0,[3],0.0,CEREALS AND CEREAL PRODUCTS
1053,"Millet, bulrush, whole, grain, dry, boiled, drained (without salt)",1,623.0,148.0,62.9,4.1,2.2,26,3.6,1.1,15,2.6,36,97,3,1.64,11,0,11,0.06,0.05,0.5,47,0,1,0.0,CEREALS AND CEREAL PRODUCTS
1054,"Millet, bulrush, whole, grain, dry, stewed, drained (without salt)",1,623.0,148.0,62.9,4.1,2.2,26,3.6,1.1,15,2.6,36,122,3,1.73,11,0,11,0.08,0.07,0.6,54,0,1,0.0,CEREALS AND CEREAL PRODUCTS
1026,"Millet, finger, flour",1,1290.0,306.0,11.3,7.4,2,53.3,22.6,3.5,344,18.5,154,538,2,1.7,2.7,0,2,0.19,0.04,4.6,93,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1027,"Millet, Finger, grain, dried, raw",1,1280.0,305.0,11.3,7.38,[1.9],53.5,22.6,3.5,344,11.3,154,538,2,1.7,15.3,0,2,0.19,0.04,4.6,93,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1028,Millet Yeast (germinated millet seeds),1,1270.0,302.0,12.7,7.4,[1.9],52.7,[22.6],2.9,859,27.6,180,81,6,[1.64],[15],0,0,0.16,[0.04],[4.5],[90],0,[0],0.0,CEREALS AND CEREAL PRODUCTS
1029,"Oat bran, unprocessed, uncooked",1,1570.0,373.0,5.6,10.7,7.5,57.8,15.5,2.9,54,4.4,153,362,12,3.2,45,0,0,0.76,0.14,0.8,33,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1030,"Pasta, macaroni, plain, dry, raw-imported",1,1570.0,370.0,7.1,13.7,1.5,73.8,3.3,0.7,21,1.9,44,147.6,5.2,0.6,13,0,0,0.07,0.03,1.1,17,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1065,"Pasta, macaroni, plain, dry, imported, boiled, drained (without salt)",1,637.0,150.0,62.2,5.6,0.6,30,1.4,0.3,10,0.6,16,36,3,0.25,5,0,0,0.03,0.01,0.4,5,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1066,"Pasta, macaroni, plain, dry, imported boiled in recipe (without salt)",0,637.0,150.0,62.2,5.6,0.6,30,1.4,0.3,10,0.8,18,60,4,0.25,5,0,0,0.02,0.01,0.4,5,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1031,"Pasta, spaghetti, dry, raw-imported",1,1500.0,354.0,10.6,12.7,1.4,71,3.2,1.1,18,1,30,142,5,0.6,12,0,0,0.07,0.06,1.1,16,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1063,"Pasta, spaghetti, dry, imported, boiled, drained (without salt)",1,517.0,122.0,69.1,4.4,0.5,24.5,1.1,0.4,8,0.3,9,30,3,0.21,4,0,0,0.02,0.02,0.3,4,0,0,0.0,CEREALS AND CEREAL PRODUCTS
1064,"Pasta, spaghetti, dry, imported, boiled in recipe (without salt)",1,517.0,122.0,69.1,4.4,0.5,24.5,1.1,0.4,8,0.3,11,49,4,0.21,4,0,0,0.02,0.02,0.3,4,0,0,0.0,CEREALS AND CEREAL PRODUCTS
